,商品名称,商品编号,商品毛重,商品产地,电源尺寸,接线类型,电源功率,适用场景,转换效率,型号,输入电压,支持温控,额定功率,产品尺寸（mm）,产品净重（kg）,6pin PCI-E接口,峰值,支持宽幅,安全认证,质保期,店铺,风扇启停,品牌,类型,风扇,SATA接口数量,CPU 12V供电接口,D型4pin接口,8pin PCI-E接口,主电源接口,PFC,电源线长,货号
233,鑫谷GP750G全模爱国版电源,100005893402,2.33kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞,金牌（90%）,GP750G全模爱国版电源,100-240V,支持温控,650W,160*150*85mm,2.32KG,,750W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,14cm,8个,2个,3个,4个,24pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长700mm，手工测量，如有误差请以实物为准,
234,航嘉冷静王蓝钻版白牌,100002857440,1.8kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,白牌（80%）,冷静王蓝钻版,185-264（V）,支持温控,400W,,1.46kg,,500W,支持宽幅,CCC认证,3年,,,,,,,,,,,,1.5m,6.95E+12
235,海韵（Seasonic）SEASONICPRIMEGX-750,67152189740,3.14kg,,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，一般家用/办公,金牌（90%）,SEASONICPRIMEGX-750,240,支持温控,750W,,1.678,,850W,支持宽幅,CCC认证；TUV认证；RoHS认证；ICES认证；REACH认证；RoHS(China)认证；EAC认证；FCC认证,12年,新尊锐电脑配件专营店,,海韵（seasonic）,ATX电源,14cm,8个,2个,4个,6个,20+4pin,主动式PFC,,SEASONICPRIMEGX-750
236,航嘉WD600K,100004924768,2.06kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,,金牌（90%）,WD600K,100-240V,支持温控,600W,150*140*86,1.5kg,,700W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,,4个,,2个,,20+4pin,,1.5m,6.95E+12
237,美商海盗船（USCORSAIR）RM650X,10034453850812,1.5kg,,标准电源（ATX）,全模组化,501W-700W,,金牌（90%）,RM650X/RM750X/RM850X/RM10,100-240V,支持温控,750W,长160mm；宽150mm；高86mm,1.525kg,2个,,支持宽幅,CCC认证,10年,爵扬旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,,610mm,
238,鑫谷（segotep）全模电脑电源（全模组/双管正激架构/宽幅/背线)全模850【额定750W双CPU线】,10025283051718,2.0kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,其他,,150V-264V,支持温控,,,2.2,,,支持宽幅,CCC认证,3年,兆方数码专营店,,,,,,,,,,,,
239,华硕（ASUS）ROGSTRIXB550-AGAMING,72034260384,1.66kg,,,,,发烧/超频，家用/办公，优选系列,,ROGSTRIXB550-AGAMING,,,,,,,,,,,华硕电脑配件专卖店,,华硕ASUS,,,,,,,,,,
240,先马金牌750,1178929,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,金牌750,100V-240V,支持温控,750W,长160mm；宽150mm；高85.5mm,净重：约2.7kg,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,,,,,20+4pin,主动式PFC,,
241,美商海盗船（USCORSAIR）RM650X,10034453850812,1.5kg,,标准电源（ATX）,全模组化,501W-700W,,金牌（90%）,RM650X/RM750X/RM850X/RM10,100-240V,支持温控,750W,长160mm；宽150mm；高86mm,1.525kg,2个,,支持宽幅,CCC认证,10年,爵扬旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,9个,2个,8个,4个,20+4pin,,610mm,
242,航嘉（Huntkey）500W/550W/600W/700W主机台式机电脑游戏电源主机电源白牌电源GX500直出500W白牌,10020526462606,2.2kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，机箱电源套装,白牌（80%）,,220,支持温控,550W,,1.85,,,支持宽幅,CCC认证,3年,赞达云商专营店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,,,,,,主动式PFC,,
243,安钛克(Antec)BP系列台式机电源BP500P额定500W三年换新,35702575428,1.5kg,,标准电源（ATX）,,301-500W,,其他,,180-264V,支持温控,,,1.5,,,支持宽幅,CCC认证,3年,恒懿电脑专营店,,,,,,,,,,,,
244,全汉（FSP）蓝暴炫动Ⅱ400W,10027156339784,1.77kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,白牌（80%）,,200-240V,支持温控,,,1.86,,,支持宽幅,CCC认证,3年,和煦电脑DIY专营店,,全汉FSP,,,,,,,,,,
245,,11790182703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,技嘉台式机电脑主机电源850W/750W/650W/550W/500W/450W80PLUS认证P550B额定550W（80PLUS铜牌认证）,70463734205,3.0kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞,铜牌（85%）,,100-240V,支持温控,,,1,1个,,不支持宽幅,CCC认证,3年,技嘉旗舰店,支持风扇启停,,,12cm,1个,1个,1个,1个,,,参数请以详情具体型号为准,
247,,10020925151518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,长城100011820378,100009419391,20.0kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，机箱电源套装,其他,hope6000ds,100-240V,支持温控,500W,150X140X86,1.845kg,,600W,支持宽幅,CCC认证,1年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,1.5m,
249,鑫谷GP700G黑金电源,1033531,2.3kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,鑫谷GP700G黑金版电源,100-240V,支持温控,600W,140*150*85mm,2.3KG,,700W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,6个,2个,5个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
250,,100000347046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,金河田额定500W电源龙霸500W,1074391,1.74kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,额定500W龙霸500电源,220V,支持温控,500W,,1.74kg,1个,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,金河田Goldenfield,ATX电源,12cm,4个,2个,2个,1个,20+4pin,主动式PFC,120cm,
252,鑫谷GP600G黑金电源,984222,2.05kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,GP600G黑金,100-240V,支持温控,500W,150*86*140mm,2.3KG,,600W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
253,航嘉WD500K,100004925348,1.98kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,WD500K,90-264V,支持温控,500W,150x86x140mm,1.585KG,1个,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,12cm,,,,,,主动式PFC,1.5m,6.95E+12
254,航嘉MVPK750,6093991,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MVPK750,90-264V,支持温控,750W,150*86*150mm,2.7KG,3个,850W,支持宽幅,CCC认证,3年,,不支持风扇启停,航嘉HuntKey,ATX电源,,4个,,3个,,,主动式PFC,1.5m,6.95E+12
255,鑫谷GP600G黑金电源,984222,2.05kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,GP600G黑金,100-240V,支持温控,500W,150*86*140mm,2.3KG,,600W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
256,航嘉（Huntkey）500W/550W/600W/700W主机台式机电脑游戏电源主机电源白牌电源GX500直出500W白牌,10020526462606,2.2kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，机箱电源套装,白牌（80%）,,220,支持温控,550W,,1.85,,,支持宽幅,CCC认证,3年,赞达云商专营店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,,,,,,主动式PFC,,
257,微星（MSI）MAG500BN,10026384663557,1.56kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,铜牌（85%）,,100-240Vac,不支持温控,,,1.44,0个,,支持宽幅,CCC认证,3年,微星电脑硬件旗舰店,不支持风扇启停,,,12cm,8个,1个,2个,4个,,,100,
258,,18800518669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,微星MPGA850GF,100016014634,3.25kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MPGA850GF,100-240Vac,支持温控,850W,150mmx160mmx86mm,3.19,,,支持宽幅,CCC认证,10年,,不支持风扇启停,,ATX电源,14cm,8个,2个,5个,5个,24pin,主动式PFC,,
260,长城F8,100015333434,2.94kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,白金牌（92%）,F8,100-240V,支持温控,850W,150*150*86,2.4,,950W,支持宽幅,CCC认证,10年,,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5m,
261,长城（GreatWall）巨龙700W电竞版,10024037547555,1.0kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,巨龙700W电竞版,100-240V,支持温控,700W,140*150*86mm,2.185,,,支持宽幅,CCC认证,3年,方度电脑专营店,,长城GreatWall,ATX电源,12cm,6个,2个,3个,2个,20+4pin,主动式PFC,1.5m,
262,航嘉MVPK750,6093991,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MVPK750,90-264V,支持温控,750W,150*86*150mm,2.7KG,3个,850W,支持宽幅,CCC认证,3年,,不支持风扇启停,航嘉HuntKey,ATX电源,,4个,,3个,,,主动式PFC,1.5m,6.95E+12
263,SUPERFLOWERSF-1000F14MG,5084714,3.76kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,金牌（90%）,LEADEXG1000W,100V-240V,支持温控,1000W,,净重约2.5KG,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；TUV认证；BSMI认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,14cm,10个,,2个,6个,20+4pin,主动式PFC,支持背板走线,
264,Thermaltake（Tt）PS-TPD-0700NHFAGC-1,100004812863,2.11kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,一般家用/办公,金牌（90%）,TPGGX1RGB700W,100V-240V~,支持温控,700W,150mm(W)x86mm(H)x140mm(D),0,,750W,支持宽幅,CCC认证,5年,,,TT,ATX电源,12cm,5个,1个,,,20+4pin,主动式PFC,1.2m,
265,,10020925151518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,安钛克(Antec)BP系列台式机电源BP600P额定600W三年换新,35702575429,1.5kg,,标准电源（ATX）,,301-500W,,其他,,180-264V,支持温控,,,1.5,,,支持宽幅,CCC认证,3年,恒懿电脑专营店,,,,,,,,,,,,
267,爱国者爱国者（aigo）额定700W电竞700全模组电源,4211279,2.455kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞,金牌（90%）,电竞700全模组镀锡线,100-240Vac,支持温控,700W,,2.05KG,,750W,支持宽幅,CCC认证,5年,,不支持风扇启停,,ATX电源,14cm,6个,2个,4个,4个,20+4pin,主动式PFC,1.5m,
268,鑫谷（segotep）全模电脑电源（全模组/双管正激架构/宽幅/背线)全模850【额定750W双CPU线】,10025283051718,2.0kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,其他,,150V-264V,支持温控,,,2.2,,,支持宽幅,CCC认证,3年,兆方数码专营店,,,,,,,,,,,,
269,Thermaltake（Tt）PS-TPD-0750F3FAGC-1,100010342284,3.08kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,金牌（90%）,ToughpowerGF1ARGB750W,100V–240V~,支持温控,750W,150mm(W)x86mm(H)x160mm(D),2.57kg,,850W,支持宽幅,CCC认证,10年,,,TT,ATX电源,,9个,,,,24pin,主动式PFC,,
270,航嘉MVPK750,6093991,2.75kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,MVPK750,90-264V,支持温控,750W,150*86*150mm,2.7KG,3个,850W,支持宽幅,CCC认证,3年,,不支持风扇启停,航嘉HuntKey,ATX电源,,4个,,3个,,,主动式PFC,1.5m,6.95E+12
271,SUPERFLOWERLEADEXG550W,1861890,2.72kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,LEADEXG550W,100~240V,支持温控,550W,165mm(L)x150mm(W)x86mm(H),净重1.6kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；TUV认证；BSMI认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,13.5cm,6个,2个,3个,3个,20+4pin,主动式PFC,支持走背线,
272,鑫谷GP850G全模爱国版电源,100005689487,2.39kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,GP850G全模爱国版电源,100-240V,支持温控,750W,160*150*85mm,2.4KG,,850W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,14cm,8个,2个,6个,4个,24pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长700mm，手工测量，如有误差请以实物为准,
273,酷冷至尊VGoldV2850W白色,100017754748,3.05kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,,金牌（90%）,,100-240V,支持温控,,160×150×86mm,2.2kg,,,支持宽幅,CCC认证,10年,,,,,,,,,,,主动式PFC,,
274,长城1237194,100009419393,20.0kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，机箱电源套装,其他,hope-7000ds,100-240V,支持温控,600W,150X140X86,1.41,,700W,支持宽幅,CCC认证,1年,,不支持风扇启停,长城GreatWall,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,1.5m,
275,长城G7GW-ATX750BL,8025804,2.84kg,深圳,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,G7GW-ATX750BL,100-240V,支持温控,750W,150X160X86,净重2.82kg,0个,850W,支持宽幅,CCC认证,7年,,不支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5M,6.92E+12
276,航嘉（Huntkey）650W全模,47132186374,2.6kg,中国大陆,标准电源（ATX）,全模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,650W全模,90-264V,支持温控,650W,150*150*86,1.9KG,2个,750W,支持宽幅,CCC认证,3年,航嘉（Huntkey）旗舰店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,4个,3个,2个,24pin,主动式PFC,1.5米,650W全模
277,美商海盗船（USCORSAIR）AX1600i,67869819016,15.0kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,钛金牌（94%）,AX1600i,100-240V,支持温控,,150mmx86mmx200mm,2.65kg,,,支持宽幅,RoHS(China)认证,10年,美商海盗船超畅行专卖店,,,,,,,,,,,,
278,爱国者爱国者（aigo）额定800W电竞800全模组电源,5119630,2.455kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,电竞800全模组镀锡线,100-240Vac,支持温控,800w,160*150*86mm,2.06KG,,850W,支持宽幅,CCC认证,5年,,不支持风扇启停,爱国者Aigo,,14cm,6个,2个,4个,4个,20+4pin,主动式PFC,1.5m,
279,SUPERFLOWERLEADEXT1600W,1861917,6.34kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,钛金牌（94%）,LEADEXT1600W,100~240V,支持温控,,,净重4kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；TUV认证；BSMI认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,14cm,6个,2个,5个,9个,20+4pin,主动式PFC,支持走背线,
280,航嘉（Huntkey）WD600K,45031357290,2.0kg,中国大陆,标准电源（ATX）,,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,WD600k,90~264V,支持温控,600W,150*140*86,2KG,2个,700W,支持宽幅,CCC认证,3年,航嘉（Huntkey）旗舰店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,4个,2个,2个,20+4pin,主动式PFC,1.5米,WD600K
281,,72034260384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,华硕（ASUS）雷神850,10026485698463,4.08kg,,标准电源（ATX）,全模组化,900W以上,,白金牌（92%）,,100-240Vac,支持温控,,,2.85,,,支持宽幅,CCC认证,3年,华硕瑞达腾飞专卖店,,,,,,,,,,,,
283,,,,,,,,,,,220V,支持温控,,,5,,,支持宽幅,CCC认证,10年,,,,,,,,,,,,,
284,先马金牌500W,1231200,2.28kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,金牌500W,100-240V,支持温控,500W,,净重：约1.84kg,,,支持宽幅,CCC认证,3年,,,先马SAMA,ATX电源,12cm,4个,,2个,2个,20+4pin,主动式PFC,,
285,航嘉（Huntkey）GS500C,10020687938442,4.5kg,中国大陆,,,,,白牌（80%）,GS500C,,,,,,,,,,,航嘉（Huntkey）旗舰店,,航嘉（HuntKey）,,,,,,,,,,GS500C
286,安钛克(Antec)BP系列台式机电源BP500P额定500W三年换新,35702575428,1.5kg,,标准电源（ATX）,,301-500W,,其他,,180-264V,支持温控,,,1.5,,,支持宽幅,CCC认证,3年,恒懿电脑专营店,,,,,,,,,,,,
287,航嘉（Huntkey）WD500K,43828703049,1.99kg,中国大陆,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,WD500k,90V~264V,支持温控,500W,150*140*86mm,1.59,2个,600W,支持宽幅,CCC认证,3年,航嘉（Huntkey）旗舰店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,2个,2个,2个,20+4pin,主动式PFC,1.5米,WD500K
288,航嘉（Huntkey）WD600K,45031357290,2.0kg,中国大陆,标准电源（ATX）,,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,WD600k,90~264V,支持温控,600W,150*140*86,2KG,2个,700W,支持宽幅,CCC认证,3年,航嘉（Huntkey）旗舰店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,4个,2个,2个,20+4pin,主动式PFC,1.5米,WD600K
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,航嘉（Huntkey）500W/550W/600W/700W主机台式机电脑游戏电源主机电源白牌电源GX500直出500W白牌,10020526462606,2.2kg,,标准电源（ATX）,非模组化,501W-700W,大型游戏/电竞，机箱电源套装,白牌（80%）,,220,支持温控,550W,,1.85,,,支持宽幅,CCC认证,3年,赞达云商专营店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,,,,,,主动式PFC,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,鑫谷GP850G全模爱国版电源,100005689487,2.39kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,GP850G全模爱国版电源,100-240V,支持温控,750W,160*150*85mm,2.4KG,,850W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,14cm,8个,2个,6个,4个,24pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长700mm，手工测量，如有误差请以实物为准,
293,长城F8,100015333434,2.94kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,白金牌（92%）,F8,100-240V,支持温控,850W,150*150*86,2.4,,950W,支持宽幅,CCC认证,10年,,支持风扇启停,长城GreatWall,ATX电源,14cm,9个,2个,3个,6个,20+4pin,主动式PFC,1.5m,
294,金河田金牌电源500w/600w/700W80plus认证主动式吃鸡台式机电脑电源Z监制GF500G额定500W,39671019254,2.8kg,中国大陆,标准电源（ATX）,,501W-700W,大型游戏/电竞，一般家用/办公,金牌（90%）,金牌电源,90V-264V,,600W,150*145*86mm,2.5kg,2个,,,,3年,金河田DIY官方旗舰店,支持风扇启停,金河田Goldenfield,ATX电源,12cm,6个,1个,2个,2个,20+4pin,主动式PFC,650mm,
295,美商海盗船（USCORSAIR）AX850/1000/1600W钛金牌台式机电源AX1600i钛金牌额定1600W,65026796534,2.5kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞,钛金牌（94%）,,100-240V,支持温控,,170mmx86mmx150mm,3KG,2个,,支持宽幅,CCC认证,10年,灵竞DIY旗舰店,支持风扇启停,海盗船CORSAIR,ATX电源,13.5cm,4个,1个,2个,2个,20+4pin,,650mm,
296,爱国者爱国者（aigo）额定800W电竞800全模组电源,5119630,2.455kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞,金牌（90%）,电竞800全模组镀锡线,100-240Vac,支持温控,800w,160*150*86mm,2.06KG,,850W,支持宽幅,CCC认证,5年,,不支持风扇启停,爱国者Aigo,,14cm,6个,2个,4个,4个,20+4pin,主动式PFC,1.5m,
297,SUPERFLOWERLEADEXT1600W,1861917,6.34kg,中国大陆,标准电源（ATX）,全模组化,900W以上,大型游戏/电竞，矿机,钛金牌（94%）,LEADEXT1600W,100~240V,支持温控,,,净重4kg,,,支持宽幅,CCC认证；FCC认证；CE认证；cTUVus认证；TUV认证；BSMI认证；CB认证；RoHS认证,10年,,支持风扇启停,振华SUPERFLOWER,ATX电源,14cm,6个,2个,5个,9个,20+4pin,主动式PFC,支持走背线,
298,酷冷至尊（CoolerMaster）雷霆铜牌,66143287389,100.00g,,标准电源（ATX）,非模组化,301-500W,机箱电源套装，一般家用/办公,铜牌（85%）,雷霆铜牌,200-240V,支持温控,,标准电源ATX,1.2,1个,,不支持宽幅,CCC认证,3年,星辰聚官方旗舰店,支持风扇启停,酷冷至尊COOLERMASTER,,12cm,4个,1个,0个,1个,,,看参数,
299,金河田额定400W龙霸电源半桥版,1813754,1.75kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,其他,龙霸400半桥电源,220V,支持温控,400W,,1.85kg,1个,500W,不支持宽幅,CCC认证,3年,,不支持风扇启停,金河田Goldenfield,ATX电源,12cm,4个,2个,2个,1个,20+4pin,被动式PFC,,
300,航嘉（Huntkey）MVPK750,10026069756447,2.3kg,中国大陆,标准电源（ATX）,全模组化,701W-900W,大型游戏/电竞，一般家用/办公,金牌（90%）,MVPK750,90-240V,支持温控,750W,,2.5,3个,850W,支持宽幅,CCC认证,3年,晨惠电脑配件专营店,不支持风扇启停,航嘉HuntKey,ATX电源,12cm,4个,,3个,,20+4pin,主动式PFC,1.5m,
301,,65198174246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,美商海盗船（USCORSAIR）VS450VS550VS600台式机静音主机ATX电源VS450下单升级VS500,32969759848,1.5kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,VS450、VS550、VS600、VS650、,100V-240V,支持温控,550W,140*150*88mm,2KG,2个,,支持宽幅,CCC认证,3年,灵竞DIY旗舰店,不支持风扇启停,海盗船CORSAIR,ATX电源,12cm,6个,1个,2个,2个,20+4pin,主动式PFC,600mm,
303,航嘉（Huntkey）WD500K,10026251259401,1.98kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,,100-240V,支持温控,,,1.5,1个,,支持宽幅,CCC认证,3年,蜀刀电脑DIY旗舰店,不支持风扇启停,航嘉HuntKey,,12cm,4个,2个,2个,2个,,,,
304,航嘉（Huntkey）WD500K,10026251259401,1.98kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,,100-240V,支持温控,,,1.5,1个,,支持宽幅,CCC认证,3年,蜀刀电脑DIY旗舰店,不支持风扇启停,航嘉HuntKey,,12cm,4个,2个,2个,2个,,,,
305,爱国者额定500W电竞500电源,2729814,2.08kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞,金牌（90%）,电竞500,100-240Vac,支持温控,500W,160*150*86MM,1.72KG,,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,爱国者Aigo,,12cm,6个,,3个,2个,20+4pin,主动式PFC,1.5m,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,航嘉（Huntkey）WD500K,10026251259401,1.98kg,,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,,100-240V,支持温控,,,1.5,1个,,支持宽幅,CCC认证,3年,蜀刀电脑DIY旗舰店,不支持风扇启停,航嘉HuntKey,,12cm,4个,2个,2个,2个,,,,
308,金河田额定500W电源龙霸500W,1074391,1.74kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,其他,额定500W龙霸500电源,220V,支持温控,500W,,1.74kg,1个,600W,支持宽幅,CCC认证,3年,,不支持风扇启停,金河田Goldenfield,ATX电源,12cm,4个,2个,2个,1个,20+4pin,主动式PFC,120cm,
309,海盗船模组线RM750RM1000AX1500ITX550M显卡8P硬盘6PSATA主板24P供电线18+10,10035225739673,1.0kg,,,,,,,HDCRM,,,,,,,,,,,兰婼婷办公专营店,,,,,,,,,,,,2
310,航嘉冷静王蓝钻版白牌,100002857440,1.8kg,中国大陆,标准电源（ATX）,非模组化,301-500W,一般家用/办公,白牌（80%）,冷静王蓝钻版,185-264（V）,支持温控,400W,,1.46kg,,500W,支持宽幅,CCC认证,3年,,,,,,,,,,,,1.5m,6.95E+12
311,金河田省师傅4000,758854,1.66kg,中国大陆,标准电源（ATX）,非模组化,300W以下,一般家用/办公,其他,省师傅4000,AC220V5050Hz,支持温控,300W,140mm*150mm*85mm,1.60kg,1个,400W,不支持宽幅,CCC认证,3年,,不支持风扇启停,金河田Goldenfield,ATX电源,12cm,3个,2个,2个,0个,20+4pin,被动式PFC,1.2M国标电源线,
312,,1666223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,美商海盗船（USCORSAIR）VS450VS550VS600台式机静音主机ATX电源VS450下单升级VS500,32969759848,1.5kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,白牌（80%）,VS450、VS550、VS600、VS650、,100V-240V,支持温控,550W,140*150*88mm,2KG,2个,,支持宽幅,CCC认证,3年,灵竞DIY旗舰店,不支持风扇启停,海盗船CORSAIR,ATX电源,12cm,6个,1个,2个,2个,20+4pin,主动式PFC,600mm,
314,航嘉冷静王钻石版,100421,1.72kg,中国大陆,标准电源（ATX）,非模组化,300W以下,一般家用/办公,其他,冷静王钻石版2.31,150-220v,支持温控,300W,长140mm；宽150mm；高86mm,1.39kg,1个,380W,支持宽幅,CCC认证,3年,,不支持风扇启停,,,,,,,,,,1.5m,
315,鑫谷GP600G黑金电源,984222,2.05kg,中国大陆,标准电源（ATX）,非模组化,301-500W,大型游戏/电竞，一般家用/办公,金牌（90%）,GP600G黑金,100-240V,支持温控,500W,150*86*140mm,2.3KG,,600W,支持宽幅,CCC认证,5年,,,鑫谷Segotep,ATX电源,12cm,5个,1个,3个,2个,20+4pin,主动式PFC,主板（20+4）PIN长550mm，CPU（4+4）PIN长600mm，支持全塔背线,
