,商品名称,商品编号,店铺,商品毛重,货号,芯片组,性能,质保期,显存容量,是否支持PCIE4.0,显存类型,接口,散热风扇,显存位宽,型号,灯效,品牌,流处理单元,核心品牌,核心频率,DirectX,电源接口,建议电源,显卡长度,商品产地,适用游戏,核心代号,芯片制程,是否支持显卡交火,风扇调速,散热器类型,产品尺寸（mm）,最大分辨率,显存频率,质保年限
245,影驰GTX1650Ultra大将OCGDDR6台式机电脑电竞游戏吃鸡独立显卡GTX1650SGT1030光影D4官方标配,10026961852897,台通电脑DIY专营店,1.5kg,,NVIDIA,家用/办公,,2GB,不支持PCIE4.0,其他,HDMI，DP,双风扇,64bit,其他,无光,影驰GALAXY,,NVIDIA,其他,,无,400W以上,23cm,,,,,,,,,,,3年质保
246,技嘉（GIGABYTE）1050TI/1650/1650S,10025229963349,趣技旗舰店,0.8kg,,NVIDIA,,,4GB,不支持PCIE4.0,GDDR5,HDMI，DP,双风扇,其他,其他,无光,技嘉GIGABYTE,,NVIDIA,其他,,其他,300W以上,22cm,,,,,,,,,,,3年质保
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,微星GT1030AEROITX2GOC,5084708,,0.52kg,,,游戏,,2GB,,GDDR4,PCI-E3.0,单风扇,64bit,,,微星MSI,384,NVIDIA,1189MHz/1430MHz,最高支持DirectX12.1,无,300W以上,14.7cm,中国大陆,,,,,,风冷,147*102*38mm,,,3年质保
249,七彩虹iGameGeForceGTX1660TiUltra6G,100003098848,,1.64kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,GTX1660,单光,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,450W以上,31cm,中国大陆,坦克世界，守望先锋，使命召唤11,,,,支持调速,风冷,310*126*42mm,,,3年质保
250,铭瑄MS-GTX1050TI/GTX1660TI/RTX2060系列电竞之心游戏显卡GTX1660TI终结者6G+航嘉550W,59353578147,亿捷电脑配件专营店,1.38kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,其他,单光,铭瑄MAXSUN,,NVIDIA,其他,,8pinx1,600W以上,30.6cm,中国大陆,,,,不支持显卡交火,不支持调速,风冷,,,,3年质保
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,七彩虹（Colorful）RTX3080Ti,10034638598961,恒惠视界电脑旗舰店,2.0kg,,NVIDIA,游戏，家用/办公,,10GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,其他,其他,RGB,七彩虹COLORFUL,1280,NVIDIA,其他,最高支持DirectX12.1,8pin×3,700W以上,30cm,,吃鸡游戏，Apex英雄，战地5,TU106,12纳米,不支持显卡交火,支持调速,,,,,3年质保
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,微星RTX3060Ti,100024351132,,1.605kg,,NVIDIA,游戏，发烧,,8GB,支持PCIE4.0,GDDR6,PCI-E4.0,双风扇,256bit,RTX3060Ti,RGB,微星MSI,,NVIDIA,其他,,8pin+6pin,600W以上,27.8cm,中国大陆,神作的终极形态,,,,,,278*131*51,,,3年质保
260,技嘉GV-N308TAORUSM-12GD,100011800561,,3.22kg,,NVIDIA,游戏，发烧,,12GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3080Ti,RGB,,,NVIDIA,其他,,8pin×3,700W以上,31.9cm,中国,,,,,,,H=70L=319W=140,,,3年以上质保
261,七彩虹（Colorful）RTX3060,10031653271026,灵竞DIY旗舰店,2.5kg,,NVIDIA,,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx2,600W以上,32.3cm,,魔兽世界，GTA5，风暴英雄,,,不支持显卡交火,支持调速,风冷,,,,3年质保
262,,100018516414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,微星GT1030AEROITX2GOC,5084708,,0.52kg,,,游戏,,2GB,,GDDR4,PCI-E3.0,单风扇,64bit,,,微星MSI,384,NVIDIA,1189MHz/1430MHz,最高支持DirectX12.1,无,300W以上,14.7cm,中国大陆,,,,,,风冷,147*102*38mm,,,3年质保
264,【二手95新】微星RTX20602070S2080S2080Ti魔龙暗黑龙诀万图师装甲师微星RTX2070GAMING8G魔龙,66887193019,京乐购二手电脑专营店,2.42kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
266,七彩虹（Colorful）RTX3080Ti,10034319679849,恒惠视界电脑旗舰店,2.0kg,,NVIDIA,游戏，家用/办公,,其他,支持PCIE4.0,其他,HDMI，DP,三风扇,其他,其他,RGB,七彩虹COLORFUL,1280,NVIDIA,其他,最高支持DirectX12.1,8pinx2,700W以上,30cm,,吃鸡游戏，Apex英雄，战地5,TU106,12纳米,不支持显卡交火,支持调速,,,,,3年质保
267,映众GEFORCERTX3060冰龙超级版,100018161230,,1.78kg,,NVIDIA,游戏，家用/办公,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,其他,单光,映众Inno3D,其他,NVIDIA,其他,最高支持DirectX12.1,8pinx1,550W以上,31cm,中国大陆,使命召唤11，吃鸡游戏，全面战争,其他,,不支持显卡交火,支持调速,风冷,长*高：302*135mm，厚度：3插槽,7680x4320,其他,3年质保
268,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
269,【二手9成新】华硕蓝宝石讯景AMDRX4704805705804G8G台式机独立游戏显卡蓝宝石RX5808G白金,55244793079,晶瑞二手电脑专营店,5.0kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,影驰3080Ti,10035006107073,锐星电脑DIY旗舰店,2.5kg,,NVIDIA,游戏，发烧,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,256bit,RTX3080Ti,RGB,影驰GALAXY,40,NVIDIA,其他,最高支持DirectX10.0,8pinx2,700W以上,31cm,中国大陆,英雄联盟，守望先锋,GT200,8纳米,不支持显卡交火,不支持调速,风冷,300,,其他,3年质保
271,微星（MSI）GeForceRTX3090GAMINGXTRIO24G,10031180058977,微星显卡外设旗舰店,2.5kg,,NVIDIA,游戏，发烧,,24GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,RTX3090,RGB,微星MSI,,NVIDIA,其他,,8pin×3,700W以上,32.3cm,,,,,,,风冷,长336mm；宽140mm；高61mm,,,3年质保
272,丽台（LEADTEK）P系列,10025509734744,得实惠电脑办公专营店,0.87kg,,NVIDIA,专业显卡Quadro/Tesla,,8GB,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,256bit,其他,无光,,,NVIDIA,其他,,其他,550W以上,24cm,,,,,,,,,,,1年质保
273,微星RTX3070Ti,100022887988,,3.07kg,,NVIDIA,游戏，发烧,,8GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,256bit,RTX3070Ti,RGB,微星MSI,,NVIDIA,其他,,8pinx2,700W以上,33.5cm,中国大陆,神作的终极形态,,,,,风冷,335*140*61,,,3年质保
274,华硕（ASUS）3060,10029613315162,华硕极客盟专卖店,3.0kg,,NVIDIA,游戏，发烧,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RTX3060,RGB,华硕ASUS,192,NVIDIA,其他,,8pinx2,550W以上,30cm,,英雄联盟，使命召唤11，吃鸡游戏,,,,,,,,,3年质保
275,影驰影驰（Galaxy）GeForceRTX3060Ti金属大师OC[FG]N卡/电竞专业游戏显卡,100022076298,,1.425kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,无光,,,NVIDIA,其他,,8pinx1,650W以上,31.8cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
276,七彩虹（Colorful）RTX3060TI,10023478170180,七彩虹旗舰店,3.0kg,,NVIDIA,,,12GB,支持PCIE4.0,GDDR6,PCI-E4.0,三风扇,192bit,RTX3060Ti,RGB,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx2,700W以上,31cm,,英雄联盟，使命召唤11，吃鸡游戏,,,不支持显卡交火,支持调速,风冷,315.5*131*53mm,,,3年质保
277,影驰3090HOFExtreme,100018346278,,4.38kg,,NVIDIA,游戏,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,1000w以上,33.5cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
278,AMD6700XT,10031574785447,中联电脑配件专营店,2.68kg,X1,AMD芯片,,,12GB,支持PCIE4.0,GDDR6,HDMI，DP，Type-C,三风扇,其他,其他,RGB,AMD,,AMD,其他,,其他,700W以上,26.7cm,,,,7纳米,,,,,,,2年质保
279,影驰3090HOFExtreme,100018346278,,4.38kg,,NVIDIA,游戏,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,1000w以上,33.5cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
280,七彩虹iGameGeForceGTX1650UltraOC4GD6,100012348130,,1.065kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,RGB,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,24cm,中国大陆,,,,,,风冷,240*132*40.3mm,,,3年质保
281,技嘉GV-R69XTGAMINGOC-16GD,100010057713,,1.645kg,,AMD芯片,,,16GB,支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,RGB,,,AMD,其他,,8pin×3,700W以上,28.6cm,中国,,,,,,,H=58L=286W=118,,,3年质保
282,华硕ROG-STRIX-RTX3090-O24G-GAMING,100009131519,,2.405kg,,NVIDIA,,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,700W以上,31.85cm,中国大陆,剑网3，吃鸡游戏,,,,,,31.85x14.01x5.78厘米,,,3年质保
283,七彩虹iGameGeForceRTX3080TiAdvancedOC,100021281920,,2.025kg,,NVIDIA,发烧,,12GB,支持PCIE4.0,GDDR6X,PCI-E4.0,三风扇,384bit,RTX3080Ti,RGB,七彩虹COLORFUL,,NVIDIA,其他,,8pin×3,700W以上,31cm,中国大陆,,,,,,,315.5*131*60mm,,,3年质保
284,微星GeForceGTX1650SUPERGAMINGX,100005689491,,1.34kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR6,HDMI，DP,双风扇,128bit,其他,无光,,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,350W,24.8cm,中国大陆,英雄联盟，吃鸡游戏，DOTA2,,,,支持调速,,,,,3年质保
285,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
286,七彩虹战斧GeForceGTX1660Ti6G,100002279317,,0.8kg,,,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,双风扇,192bit,,无光,七彩虹COLORFUL,其他,NVIDIA,1500(Bst：1770)MHz,最高支持DirectX12.1,8pinx1,450W以上,22.2cm,中国大陆,最终幻想13，坦克世界，魔兽世界,其他,,,支持调速,风冷,222*126*42mm,,12Gbps,3年质保
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,七彩虹iGameGeForceGTX1650UltraOC4GD6,100012348130,,1.065kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR6,HDMI，DP，DVI,双风扇,128bit,GTX1650,RGB,七彩虹COLORFUL,,NVIDIA,其他,,6pinx1,300W以上,24cm,中国大陆,,,,,,风冷,240*132*40.3mm,,,3年质保
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,【二手95新】微星RTX20602070S2080S2080Ti魔龙暗黑龙诀万图师装甲师微星RTX2070GAMING8G魔龙,66887193019,京乐购二手电脑专营店,2.42kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,七彩虹（COLORFUL）GT1030,10031040289050,七彩虹官祺专卖店,1.5kg,,NVIDIA,,,2GB,不支持PCIE4.0,GDDR4,HDMI，VGA,单风扇,64bit,其他,无光,,,NVIDIA,其他,,其他,300W以上,21cm,,英雄联盟，梦幻西游2，CS,,14纳米,不支持显卡交火,不支持调速,,,,,3年质保
292,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
293,技嘉GV-N308TAORUSX-12GD,100023428548,,3.52kg,,NVIDIA,,,12GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3080Ti,RGB,,,NVIDIA,其他,,8pin×3,700W以上,31.9cm,中国,,,,,,,H=70L=319W=140,,,3年以上质保
294,小影霸GT2101G,69080794408,,430.00g,,NVIDIA,家用/办公,,1GB,不支持PCIE4.0,其他,PCI-E,单风扇,64bit,其他,无光,其它,其他,NVIDIA,其他,其他,无,300W以上,18cm,中国大陆,英雄联盟，穿越火线,GT218,40纳米,不支持显卡交火,不支持调速,风冷,180mm*120mm*20mm,1920*1080P/HZ,其他,3年质保
295,影驰3090HOFExtreme,100018346278,,4.38kg,,NVIDIA,游戏,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,1000w以上,33.5cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
296,技嘉（GIGABYTE）AMDRX6700XTRX6800XT/RX6900XT台式电脑游戏显卡5800X+X570+RX6800超级雕,65561730023,爵扬旗舰店,3.0kg,,AMD芯片,游戏，发烧，家用/办公,,16GB,不支持PCIE4.0,GDDR6,HDMI，DP,三风扇,256bit,其他,RGB,技嘉GIGABYTE,,AMD,其他,,8pinx2,550W以上,28cm,,英雄联盟，吃鸡游戏，Apex英雄,,,,支持调速,,,,,3年质保
297,影驰3090HOFExtreme,100018346278,,4.38kg,,NVIDIA,游戏,,24GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,384bit,RTX3090,RGB,,,NVIDIA,其他,,8pin×3,1000w以上,33.5cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
298,影驰影驰（Galaxy）GeForceRTX3070TiHOFPro旗舰级电脑电竞游戏专业显卡,100025121776,,2.19kg,,NVIDIA,游戏,,8GB,支持PCIE4.0,GDDR6X,HDMI，DP,三风扇,256bit,RTX3070Ti,RGB,,,NVIDIA,其他,,8pinx2,850w以上,30.3cm,中国大陆,吃鸡游戏，DOTA2，逆战,,,,,,,,,3年质保
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,AMD6700XT,10031574785447,中联电脑配件专营店,2.68kg,X1,AMD芯片,,,12GB,支持PCIE4.0,GDDR6,HDMI，DP，Type-C,三风扇,其他,其他,RGB,AMD,,AMD,其他,,其他,700W以上,26.7cm,,,,7纳米,,,,,,,2年质保
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,七彩虹iGameGeForceGTX1660SUPERUltra6G,100009149314,,1.48kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,GTX1660S,单光,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,450W以上,31cm,中国大陆,英雄联盟，守望先锋，剑网3,,,,支持调速,风冷,310*126*42mm,,,3年质保
303,微星（MSI）GeForceGT1030AEROITX2GOCV1游戏办公电竞独立显卡吃鸡GT1030AERO2G【性能小钢炮】,10028778567437,硕纬图数码专营店,1.0kg,JD20210322121800,NVIDIA,,,2GB,不支持PCIE4.0,GDDR4,HDMI，VGA,单风扇,64bit,其他,无光,,,NVIDIA,其他,,无,300W以上,1cm,,英雄联盟,,14纳米,不支持显卡交火,不支持调速,,147*102*38,,,3年质保
304,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
305,影驰GTX1050TI大将4G显卡电脑游戏独立显卡,24214749206,胖虫官方旗舰店,1.1kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,其他,RGB,影驰GALAXY,,NVIDIA,其他,最高支持DirectX12.1,6pinx1,300W以上,21.4cm,,英雄联盟，吃鸡游戏，Apex英雄,,,不支持显卡交火,支持调速,风冷,214×126×39mm,7680x4320,,3年质保
306,七彩虹iGameGeForceGTX1660SUPERUltra6G,100009149314,,1.48kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,GTX1660S,单光,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,450W以上,31cm,中国大陆,英雄联盟，守望先锋，剑网3,,,,支持调速,风冷,310*126*42mm,,,3年质保
307,七彩虹iGameGeForceGTX1660SUPERUltra6G,100009149314,,1.48kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,GTX1660S,单光,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,450W以上,31cm,中国大陆,英雄联盟，守望先锋，剑网3,,,,支持调速,风冷,310*126*42mm,,,3年质保
308,七彩虹ColorfulRTX2060/2060SUPER战斧/Ultra电脑独立游戏显卡RTX2060Ultra一键超频6G单显卡,62283738679,星辰聚官方旗舰店,1.0kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,其他,其他,192bit,其他,无光,七彩虹COLORFUL,16,NVIDIA,其他,最高支持DirectX11,8pinx1,500W以上,0.1cm,,英雄联盟，守望先锋，吃鸡游戏,G80,0.11微米,不支持显卡交火,支持调速,,,,,3年质保
309,英伟达（NVIDIA）QuadroP1000,10023772854208,英伟达比格专卖店,0.545kg,900-5G178-2550-000,NVIDIA,科学运算，家用/办公，专业显卡Quadro/Tesla,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,单风扇,128bit,P1000,无光,其它,640,NVIDIA,其他,最高支持DirectX12.1,无,300W以上,15cm,中国大陆,,,14纳米,不支持显卡交火,支持调速,风冷,长330mm；宽183mm；高48mm,3840*2160,,3年质保
310,微星GTX1050TiGAMINGX4G,3977224,,1.165kg,,NVIDIA,游戏,,4GB,不支持PCIE4.0,GDDR5,PCI-E3.0,双风扇,128bit,GTX1050Ti,无光,微星MSI,768,NVIDIA,1290-1493MHZ,,6pinx1,300W以上,22.9cm,中国大陆,英雄联盟，吃鸡游戏，DOTA2,GP107,,,支持调速,风冷,229*131*39mm,,7108MHz(OC),3年质保
311,【二手99新】迪兰讯景蓝宝HD78501GGDDR5白金版GTA5吃鸡.LOL.DNF游戏显卡京东盒装,55761880706,铭速二手电脑专营店,2.0kg,蓝宝石HD78501G,,,,,,,,,,,,,,,,,,,,中国大陆,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,七彩虹iGameGeForceGTX1660SUPERUltra6G,100009149314,,1.48kg,,NVIDIA,游戏,,6GB,不支持PCIE4.0,GDDR6,PCI-E3.0,三风扇,192bit,GTX1660S,单光,七彩虹COLORFUL,,NVIDIA,其他,最高支持DirectX12.1,8pinx1,450W以上,31cm,中国大陆,英雄联盟，守望先锋，剑网3,,,,支持调速,风冷,310*126*42mm,,,3年质保
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,【二手95新】七彩虹网驰GTX750ti2GD5绝地求生吃鸡台式机游戏显卡独显官翻盒装显卡GTX750ti1G,10033501418631,铭速二手电脑专营店,500.00g,七彩虹网驰GTX750ti2GD5,,,,,,,,,,,,,,,,,,,,中国大陆,,,,,,,,,,
316,微星（MSI）GeForceGT1030AEROITX2GOCV1游戏办公电竞独立显卡吃鸡GT1030AERO2G【性能小钢炮】,10028778567437,硕纬图数码专营店,1.0kg,JD20210322121800,NVIDIA,,,2GB,不支持PCIE4.0,GDDR4,HDMI，VGA,单风扇,64bit,其他,无光,,,NVIDIA,其他,,无,300W以上,1cm,,英雄联盟,,14纳米,不支持显卡交火,不支持调速,,147*102*38,,,3年质保
