,商品名称,商品编号,商品毛重,商品产地,货号,NVMe读速,容量,接口,系列,型号,品牌,顺序写入,顺序读速,闪存类型,缓存,保存温度,工作温度,产品尺寸（mm）,TBW,店铺
263,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本980500G/512G,10027526838783,200.00g,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),980,MZ-V8V500BW,,2600MB/s,3100MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
264,英特尔（Intel）760P,10030698928574,100.00g,中国大陆,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),760P,760P,其它,1625MB/s,3230MB/s,QLC,无缓存,0°Cto70°C,0°Cto70°C,长145mm；宽115mm；高12mm,72TBW,英特尔集宇专卖店
265,金士顿（Kingston）A400笔记本台式机固态硬盘SATA240/480/960固态硬盘SSD金士顿A400+台式机套装120G非128G,45216317226,150.00g,,,,(120-128)GB,SATA接口,A400,A400,,,,TLC,无缓存,0-70,0-70,2.5英寸,,绿速通旗舰店
266,金士顿SNVS/1000G,100020082478,25.00g,中国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),NV1系列,SNVS/1000G,金士顿(Kingston),1700MB/s,2100MB/s,其他,无缓存,-40°C?85°C,0°C?70°C,80mm×22mm×2.1mm,240TBW,
267,影驰铁甲战将SATA接口台式机固态硬盘SSD笔记本M.2固态硬盘NVMe协议PCIE3.0擎512GM.2PCIe3.0,66350945986,100.00g,中国大陆,,,其他,M.2接口(NVMe协议),擎,,,1100MB/s,2300MB/s,TLC,无缓存,-40~85°C,0~70°C,100x69.85x6.90mm,240TBW,台通电脑DIY专营店
268,西部数据WDS100T2B0C,100005926991,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),BlueSSD固态硬盘,WDS100T2B0C,西部数据（WesternDigital）,1950MB/s,2400MB/s,TLC,,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高2.38mm,600TBW,
269,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国/韩国/泰国,MZ-V8P250BW,4500MB/s及以上,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
270,三星三星NVMV980proSSDMZ-V8P250BW,100015610860,80.00g,中国/韩国/泰国,MZ-V8P250BW,4500MB/s及以上,(240-256)GB,M.2接口(NVMe协议),980PRO,MZ-V8P250BW,三星(SAMSUNG),2700MB/s,6400MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
271,三星MZ-V7S250B,100002183459,80.00g,中国大陆/韩国/泰国,,3000-4500MB/s,(240-256)GB,M.2接口(NVMe协议),970EVOPlus,MZ-V7S250B,三星（SAMSUNG）,2300MB/s,3500MB/s,TLC,512M,-40~85°C,0-70℃运行温度,长80.15mm；宽22.15mm；高2.38mm,150TBW,
272,致钛（ZhiTai）PC005,10032279268895,220.00g,,,3000MB/s以上,(480-512)GB,M.2接口(NVMe协议),Active系列,PC005,其它,,,TLC,512M,-125,0-70,80*22*2.23,,胖虫官方旗舰店
273,三星三星NVMV980proSSDMZ-V8P500BW,100008757399,80.00g,中国/韩国/泰国,MZ-V8P500BW,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),980PRO,MZ-V8P500BW,三星(SAMSUNG),5000MB/s,6900MB/s,TLC,512M,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,300TBW,
274,西部数据WDS500G3X0C-00SJG0,100003226990,45.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G3X0C-00SJG0,西部数据（WesternDigital）,2600MB/s,3430MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
275,三星（SAMSUNG）870EVO/QVOSSD固态硬盘台式机笔记本固态硬盘2.5英寸870QVO2T,72031247977,100.00g,,,,2TB及以上,SATA接口,870QVO,MZ-77Q2T0B,,530MB/s,560MB/s,,,-45°Cto85°C,0°Cto70°C,长100mm；宽69.85mm；高6.8mm,,存储先锋旗舰店
276,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus1TB,11120985221,60.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970EVOplus,MZ-V7S1T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
277,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
278,西部数据WDS960G2G0C,100021012016,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS960G2G0C,西部数据（WesternDigital）,1900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,80TBW,
279,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑980PRO(Pcie4.0)2TB,28477342495,60.00g,,,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),980Pro,MZ-V8P2T0BW,,5100MB/s,7000MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
280,西部数据WDS500G3X0C-00SJG0,100003226990,45.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G3X0C-00SJG0,西部数据（WesternDigital）,2600MB/s,3430MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
281,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑980PRO(Pcie4.0)2TB,28477342495,60.00g,,,4500MB/s及以上,2TB及以上,M.2接口(NVMe协议),980Pro,MZ-V8P2T0BW,,5100MB/s,7000MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
282,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970Pro(MLC颗粒)1TB,11120985226,60.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970pro,MZ-V7P1T0BW,,2700MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
283,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本970EVOPlus2TB,67386057387,200.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOPLUS,MZ-V7S2T0BW,,3300MB/s,3500MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
284,铠侠LRC10Z500GC8,100007080973,40.00g,中国大陆,,2000MB/s以下,(480-512)GB,M.2接口(NVMe协议),,RC10-500G,铠侠,1600MB/s,1700MB/s,TLC,512M,-40°C至85°C,0°C(Ta)至85°C(Tc),80.15x22.15x2.23mm,200TBW,
285,金士顿（Kingston）SA400,44144127306,75.00g,中国大陆,SA400,,(240-256)GB,SATA接口,,SA400S37/240GBKCN,,,,,无缓存,-40~85°C,0~70°C,100mmx69.9mmx7mm,,
286,金士顿（Kingston）A2000系列M.2接口NVMe协议固态硬盘SSDA2000无散热片版500G,28540908001,70.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),A2000,A2000500G,,,,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,,绿速通旗舰店
287,西部数据WDS960G2G0C,100021012016,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS960G2G0C,西部数据（WesternDigital）,1900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,80TBW,
288,西部数据WDS500G1B0E-00B3V0,100025295798,50.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1B0E-00B3V0,西部数据（WesternDigital）,2000MB/s,3600MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
289,铭瑄终结者,100007233863,100.00g,中国大陆,,2000MB/s以下,(120-128)GB,SATA接口,终结者系列,MS120GBX5,铭瑄（MAXSUN）,420MB/s,480MB/s,TLC,无缓存,-40°C~85°C,0°Cto70°C,100mmx69.8mmx7mm,50TBW,
290,英特尔（Intel）760P,10030698928574,100.00g,中国大陆,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),760P,760P,其它,1625MB/s,3230MB/s,QLC,无缓存,0°Cto70°C,0°Cto70°C,长145mm；宽115mm；高12mm,72TBW,英特尔集宇专卖店
291,影驰影驰铁甲战将480GBSATA3.0SSD固态硬盘,100014110682,70.00g,中国大陆,,,(480-512)GB,SATA接口,铁甲战将系列,铁甲战将480,其它,,,,无缓存,‘-40~85℃,0~70°C,100*69*6.9mm,,
292,金士顿（Kingston）A2000系列M.2接口NVMe协议固态硬盘SSDA2000无散热片版500G,28540908001,70.00g,中国大陆,,,(480-512)GB,M.2接口(NVMe协议),A2000,A2000500G,,,,TLC,无缓存,-40°C~85°C,0°C~70°C,80mmx22mmx3.5mm,,绿速通旗舰店
293,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus1TB,11120985221,60.00g,,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),970EVOplus,MZ-V7S1T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
294,影驰HOFPROM.2,51603981496,200.00g,,ssdpcie4.0,,960GB-1TB,M.2接口(NVMe协议),HOF系列,HOFPro20,其它,,,TLC,1GB,-40~85°C,0~70°C,长80mm；宽22mm；高2.38mm,,胖虫官方旗舰店
295,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
296,西部数据WDS960G2G0C,100021012016,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,960GB-1TB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS960G2G0C,西部数据（WesternDigital）,1900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,80TBW,
297,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑970EVOPlus2TB,11120985220,60.00g,,,3000-4500MB/s,2TB及以上,M.2接口(NVMe协议),970EVOplus,MZ-V7S2T0B,,3300MB/s,3500MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
298,西部数据WDS500G1X0E,100009210509,40.00g,中国大陆,,4500MB/s及以上,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G1X0E,西部数据（WesternDigital）,4100MB/s,7000MB/s,TLC,,-55oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,300TBW,
299,西部数据WDS240G2G0C,100011220265,40.00g,中国大陆/马来西亚/泰国,,2000-3000MB/s,(240-256)GB,M.2接口(NVMe协议),GreenSSD固态硬盘,WDS240G2G0C,西部数据（WesternDigital）,900MB/s,2400MB/s,TLC,,-40oCto85oC,0oCto70oC,长80mm；宽22mm；高2.38mm,40TBW,
300,西部数据WDS500G3X0C-00SJG0,100003226990,45.00g,泰国、马来西亚、中国,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),WD_BLACK系列,WDS500G3X0C-00SJG0,西部数据（WesternDigital）,2600MB/s,3430MB/s,TLC,,-55oC到85oC,0oC到70oC,长80mm；宽22mm；高2.38mm,300TBW,
301,西部数据（WD）Green系列-SSD日常家用普及版M.22280笔记本台式固态硬盘SSD480G+16G系统优盘,50169418819,500.00g,,,,(480-512)GB,M.2接口（SATA总线）,西部数据(WD)Green系列M.2接口,WDS480G2G0B,西部数据（WesternDigital）,,545MB/s,SLC,无缓存,-55°C至85°C,0°C至70°C,长80mm；宽22mm；高1.5mm,,西部数码IT专营店
302,金士顿（Kingston）SA400,44144127307,75.00g,中国大陆,SA400,,(480-512)GB,SATA接口,,SA400S37/480GBKCN,,,,,无缓存,-40~85°C,0~70°C,100mmx69.9mmx7mm,,
303,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本980500G/512G,10027526838783,200.00g,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),980,MZ-V8V500BW,,2600MB/s,3100MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
304,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本980500G/512G,10027526838783,200.00g,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),980,MZ-V8V500BW,,2600MB/s,3100MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
305,TECLAST台电极光系列A800120GSATA3/台式机笔记本SSD固态硬盘,18172869787,500.00g,,,,(120-128)GB,,,,,,,,无缓存,1,0℃~70℃,100mm*69.8mm*6.9mm,,亿捷电脑配件专营店
306,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本980500G/512G,10027526838783,200.00g,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),980,MZ-V8V500BW,,2600MB/s,3100MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
307,三星MZ-N6E250BW,6435501,75.00g,中国大陆/韩国/泰国,,,(240-256)GB,M.2接口（SATA总线）,860EVOM.2系列,MZ-N6E250BW,三星(SAMSUNG),520MB/s,550MB/s,TLC,512M,-45°Cto85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,150TBW,
308,联想SL700SATA3,100001392813,80.00g,中国大陆,,,960GB-1TB,SATA接口,闪电鲨系列,SL700,联想（lenovo）,500MB/s,480MB/s,TLC,无缓存,-40~85°C,0-70℃,70*100*7mm,400TBW,
309,三星（SAMSUNG）970EVOPlus/980PROM2固态硬盘NVMe台式机/笔记本电脑980(Pcie3.0)500G-512G,10027517606770,60.00g,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),980,MZ-V8V500BW,,2600MB/s,3100MB/s,,,-40~85°C,0-70℃,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
310,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,
312,金士顿（Kingston）SA400,44144127306,75.00g,中国大陆,SA400,,(240-256)GB,SATA接口,,SA400S37/240GBKCN,,,,,无缓存,-40~85°C,0~70°C,100mmx69.9mmx7mm,,
313,金士顿（Kingston）SA400,44144127307,75.00g,中国大陆,SA400,,(480-512)GB,SATA接口,,SA400S37/480GBKCN,,,,,无缓存,-40~85°C,0~70°C,100mmx69.9mmx7mm,,
314,浦科特1TM9PPlus,100010297752,40.00g,中国台湾,,3000-4500MB/s,960GB-1TB,M.2接口(NVMe协议),M9PPlus,1TM9PPlusNVMe,,2200MB/s,3400MB/s,TLC,1GB,-40℃~85℃,0°C~70°C,长80mm；宽22mm；高2.3mm,640TBW,
315,,,,,,,,,,,,,,,,,,,,
316,三星（SAMSUNG）970EVO/PRO/980m2固态硬盘M.2(NVMe协议)台式机笔记本980500G/512G,10027526838783,200.00g,,,3000-4500MB/s,(480-512)GB,M.2接口(NVMe协议),980,MZ-V8V500BW,,2600MB/s,3100MB/s,,,-40~85°C,0°Cto70°C,长80.15mm；宽22.15mm；高2.38mm,,存储先锋旗舰店
